input,output,instruction
Salllluuuu i love u....plzzzz ek bar apne apse milne do...plzzzzzz,positive,Classify the given article as either positive or negative or mix sentiment.
"Tu musalman ke bina movie hit kar sakta he bola he na,,,,chal karke dikha,,,",negative,Classify the given article as either positive or negative or mix sentiment.
Ise share karo plz,neutral,Classify the given article as either positive or negative or mix sentiment.
#287 Once upon a time there was a crooked GS who did not notify students about an exchange program so that he could send 3 of his friends for the same .,negative,Classify the given article as either positive or negative or mix sentiment.
pehli baar ladkiyo ki jagah ladke top karenge :d,positive,Classify the given article as either positive or negative or mix sentiment.
sir aapne skill devlopment programe lunch kiye jisase karoro logo ko rojgar milega !!! thanks sir,neutral,Classify the given article as either positive or negative or mix sentiment.
agar iss baar bhi delhi me kisiko bahumat nahi mile to jeetan ram manjhi ko delhi ke cm ka charge de dena... http://t.co/jmsrsueini,positive,Classify the given article as either positive or negative or mix sentiment.
A man*,neutral,Classify the given article as either positive or negative or mix sentiment.
sale harenge . . .,negative,Classify the given article as either positive or negative or mix sentiment.
"guddu tere school ki chutti , jab tak world cup chalega ;-)",positive,Classify the given article as either positive or negative or mix sentiment.
match khatm #starsports walo naya wala add to dikhao #indvsuae,neutral,Classify the given article as either positive or negative or mix sentiment.
Pappu fail ho gya is baar😣😣,negative,Classify the given article as either positive or negative or mix sentiment.
"why we are so obsessed with banning everything, are we a largest democracy or an authoritarian country #bananarepublic #beefban",neutral,Classify the given article as either positive or negative or mix sentiment.
@mojorojo shayad hava hi khana padega ek din #beefban,negative,Classify the given article as either positive or negative or mix sentiment.
next screen iska exam hona chahiye,positive,Classify the given article as either positive or negative or mix sentiment.
Kyo pade ho chakar me koi nahi hai takar me. Modi is best pm .,positive,Classify the given article as either positive or negative or mix sentiment.
1 chaahe 2 karik bajrangi baijan padgya sab bari,neutral,Classify the given article as either positive or negative or mix sentiment.
south africa walo ko yaad dilo ko ki usko india ne azad kiya tha to ye match kaise jitne dete . . .,neutral,Classify the given article as either positive or negative or mix sentiment.
guddu ab . . . young ho raha h . .,neutral,Classify the given article as either positive or negative or mix sentiment.
Or either if u already wasted ur money go n b besharam in d hall rather than watching a movie where nthing is to watch ... pity for singles . .. couple might njoy their cozy 2 n half hours,neutral,Classify the given article as either positive or negative or mix sentiment.
Salman khan sir 3.30 tha na,neutral,Classify the given article as either positive or negative or mix sentiment.
chicago: go see @someUSER #lovesgotaholdonme #sat october 27th 7p at the #haroldwashingonculcntr 47th &amp; king dr .,neutral,Classify the given article as either positive or negative or mix sentiment.
"memorial day , president's day , monday , any day seems to be the right day to see independence day on t . v .",neutral,Classify the given article as either positive or negative or mix sentiment.
"mere primary school ke supw projects mere papa he banate the par mere h . s . school ke supw teacher toh mere papa he the , . . . yaad aa gaye woh din :d",neutral,Classify the given article as either positive or negative or mix sentiment.
Happy Holi ...ðŸ˜ƒ,neutral,Classify the given article as either positive or negative or mix sentiment.
Bhaijaan app ki film k liye bohot bohot badhai,positive,Classify the given article as either positive or negative or mix sentiment.
🙌🏻,neutral,Classify the given article as either positive or negative or mix sentiment.
Salman plz cm?,neutral,Classify the given article as either positive or negative or mix sentiment.
Are to kaise fir ?,negative,Classify the given article as either positive or negative or mix sentiment.
bhai aaye ki nahi ab tk,negative,Classify the given article as either positive or negative or mix sentiment.
No chance,positive,Classify the given article as either positive or negative or mix sentiment.
Kha par hai be waise ? ?,neutral,Classify the given article as either positive or negative or mix sentiment.
Mujhe lambi chutti OE aane de,neutral,Classify the given article as either positive or negative or mix sentiment.
agar aap apney desh ko sabse achha aur tarakki wala desh dekhna chahte h to modi aur bjp ko vote kare aur sabhi logo ko share kare,positive,Classify the given article as either positive or negative or mix sentiment.
cheap politics for votes going on in up ....... n there r atleast 4 CM in UP,neutral,Classify the given article as either positive or negative or mix sentiment.
#india won the toss. we have already won the match :p #indvspak #wc @icc,positive,Classify the given article as either positive or negative or mix sentiment.
Nu cred ca ii fb lui salman khan,neutral,Classify the given article as either positive or negative or mix sentiment.
Agar mushalman ko challange de rahe ho to bro movi m bhar de jholi wali kavali kyo aad ki ?????????,negative,Classify the given article as either positive or negative or mix sentiment.
nikhil bro . . . . . ye dekh chhota girendra =d,positive,Classify the given article as either positive or negative or mix sentiment.
Love love love,positive,Classify the given article as either positive or negative or mix sentiment.
Arre bc,negative,Classify the given article as either positive or negative or mix sentiment.
"im bringing the monster load of candy tomorrow , i just hope it doesn't get all squiched",neutral,Classify the given article as either positive or negative or mix sentiment.
??,negative,Classify the given article as either positive or negative or mix sentiment.
thanks a lot for reviving all the old and precious memories of school time . . . .,positive,Classify the given article as either positive or negative or mix sentiment.
monta ellis / ellis had just two points on 1-of-11 shooting on friday against http/URL #nba,neutral,Classify the given article as either positive or negative or mix sentiment.
Ek ship dikha navy,neutral,Classify the given article as either positive or negative or mix sentiment.
#unionbudget2015 all over nation in cities &amp; in all town hifi or good or standard playground,neutral,Classify the given article as either positive or negative or mix sentiment.
Kye hal han Salman Bai,neutral,Classify the given article as either positive or negative or mix sentiment.
ye to ghatiyapanti ki had hai,negative,Classify the given article as either positive or negative or mix sentiment.
aakhir jaag hi gya guddu ke baap ke andr ka sunny deol :-p,neutral,Classify the given article as either positive or negative or mix sentiment.
Me duwa karta hun ki bhai aap ka ye muvi San ka rekod tod de,positive,Classify the given article as either positive or negative or mix sentiment.
lovly &nice song ..salman.,positive,Classify the given article as either positive or negative or mix sentiment.
Bhaijaan to gud Bhai aap bahut achche insan he,positive,Classify the given article as either positive or negative or mix sentiment.
hahahaaa (y),positive,Classify the given article as either positive or negative or mix sentiment.
Hye meri cutey,positive,Classify the given article as either positive or negative or mix sentiment.
"4 baj gaye sir .,.,.,.come plz ,.,.,.,.",neutral,Classify the given article as either positive or negative or mix sentiment.
Bhai k sath baat karne ko taras raha hu yaar,neutral,Classify the given article as either positive or negative or mix sentiment.
apna ek wada to pura karke dikhao . . bhagore,negative,Classify the given article as either positive or negative or mix sentiment.
nothing true,negative,Classify the given article as either positive or negative or mix sentiment.
agar dono me se ek bhi smjhdar ho to kuch b work kar sakta hai 8),positive,Classify the given article as either positive or negative or mix sentiment.
Abbu Ki shopping hogai bas Ammi Ki shopping baaki hai,neutral,Classify the given article as either positive or negative or mix sentiment.
protest against the mitch daniels purdue presidential nomination tomorrow @ loeb theater 2:30 pm . bring a friend ! #soapurdue,negative,Classify the given article as either positive or negative or mix sentiment.
god bless u man . sach main dil khush ho jata hai aapke ye sketch padkar . keep rocking . :-),positive,Classify the given article as either positive or negative or mix sentiment.
Soon ky@m,neutral,Classify the given article as either positive or negative or mix sentiment.
real test for #bayern this weekend against the in form bayer leverkusen . a win at home on sunday will go a long way towards a 15 win streak .,positive,Classify the given article as either positive or negative or mix sentiment.
Are churu ek place h Rajasthan me,positive,Classify the given article as either positive or negative or mix sentiment.
yaha sab mental hai.. ok lage raho yaro,neutral,Classify the given article as either positive or negative or mix sentiment.
us gaaon ke log bhi jahrile honge,neutral,Classify the given article as either positive or negative or mix sentiment.
"ye india hai , kuchh bhi ho sakta hai yaha",neutral,Classify the given article as either positive or negative or mix sentiment.
pooja k,positive,Classify the given article as either positive or negative or mix sentiment.
no aise nhi bolna chaiye kisi ko,negative,Classify the given article as either positive or negative or mix sentiment.
knicks vs heat tomorrow . kicking off the season at msg .,positive,Classify the given article as either positive or negative or mix sentiment.
5 hogaye pr ap ne baat nh ki angry with you kamal kartay ho yar,negative,Classify the given article as either positive or negative or mix sentiment.
Vo to soogye h ??,neutral,Classify the given article as either positive or negative or mix sentiment.
"kuchh bache toh bas khade rehkar games hi dekhte rehte they , kabhi khelte hi nahin they . chindi types .",negative,Classify the given article as either positive or negative or mix sentiment.
I was Rajan but I had to change my identity because I joined RAW . My mission is over so I am back to Rajan ;),positive,Classify the given article as either positive or negative or mix sentiment.
"i always used to think ultra nerds make up iitb . . . now i realize that you guys are as clueless as anyone else in the same age group , possibly more socially challenged !",negative,Classify the given article as either positive or negative or mix sentiment.
Tym nikal k bhai,neutral,Classify the given article as either positive or negative or mix sentiment.
kash mera atm bi wapas mil jata .,neutral,Classify the given article as either positive or negative or mix sentiment.
is baar shaan bhai bach gaye . . ! ! :p,positive,Classify the given article as either positive or negative or mix sentiment.
tennessee tech's steve payne says murray state does things the right way - oct 24 @ 6:47 pm et http/URL,neutral,Classify the given article as either positive or negative or mix sentiment.
@someUSER nick diaz is da best ! smoke weed every day and drop out of school in 6th grade ! fuck yeah !,positive,Classify the given article as either positive or negative or mix sentiment.
tuk bum barsao hum run barsayen aao dekhein kaun duniya jeet-ta hai #indvspak,neutral,Classify the given article as either positive or negative or mix sentiment.
Abe tumara plan kya h ?,neutral,Classify the given article as either positive or negative or mix sentiment.
v . true yt vry annoyn :/ bchpan ka dhoka yad agya :(,negative,Classify the given article as either positive or negative or mix sentiment.
I knw apko muskil ho raha hoga sabko reply dene mai,positive,Classify the given article as either positive or negative or mix sentiment.
great reference to mungerilal k haseen sapney :d,neutral,Classify the given article as either positive or negative or mix sentiment.
Tum mese kisi ne tar use kiya h jo miss kar rahe ho use,neutral,Classify the given article as either positive or negative or mix sentiment.
hahaha police wali ki ladki ko patane chala tha beta sasural kaisa laga,neutral,Classify the given article as either positive or negative or mix sentiment.
thursday margarita day with poker sign in before 7:15 p . m . and a funtastic time ! ! ! ! yeaha friday jaron bell (riannon bday party) reminder ;),positive,Classify the given article as either positive or negative or mix sentiment.
"raj thackeray at his best:after udhav, its raj's turn now! #aapsweep #aapstorm http://t.co/h2qijqqkro",positive,Classify the given article as either positive or negative or mix sentiment.
rt @printcenter88: #msgyouthicon really. .u r absolutely able to called youth icon u made a vvvvvvvv.superb movie 4 whole world,positive,Classify the given article as either positive or negative or mix sentiment.
ye sabse aage kaun khada h chotu,neutral,Classify the given article as either positive or negative or mix sentiment.
"300, crore insha Allah",positive,Classify the given article as either positive or negative or mix sentiment.
awwww shit i still got some new amsterdam in the fridge . mmhmm tomorrow after work ima need that before i go out,neutral,Classify the given article as either positive or negative or mix sentiment.
blake griffin poster dunk over kendrick perkins (6ft . 10) in hd (jan . 30) http/URL that's why you roll after a pick .,neutral,Classify the given article as either positive or negative or mix sentiment.
ke kar rhe hai n ? ?,neutral,Classify the given article as either positive or negative or mix sentiment.
Karta hun kuch,neutral,Classify the given article as either positive or negative or mix sentiment.
:v cassette exchange karte they friends se . . . . :v 1 ghanta game khelne ke liye bhenchik 2 ghante padhna padta tha pehle :( lol :d,neutral,Classify the given article as either positive or negative or mix sentiment.
aur darshako ki bhari demand ke baad luncher paaji maidaan me fir se nazar aate hue . . . . chomb chomb . . ! ! ! ! !,positive,Classify the given article as either positive or negative or mix sentiment.
bhai aa jao,neutral,Classify the given article as either positive or negative or mix sentiment.
"mujhe to lga tha papa ki band bjne wali h , bt yha to chkr hi ulta pd gya . . ;) :p",negative,Classify the given article as either positive or negative or mix sentiment.
"a 10-minute break. because the match has been so boringly one-sided, you deserve a nap. #cwc15 #indvsuae",negative,Classify the given article as either positive or negative or mix sentiment.
car racing or star galaxy b milta tha :d mast game tha yar ;),positive,Classify the given article as either positive or negative or mix sentiment.
yaar aap to mujhey nostalgic kar dete ho . . .,negative,Classify the given article as either positive or negative or mix sentiment.
kaisa majak udaya bata na jhute ko jhuta kahna majak h,neutral,Classify the given article as either positive or negative or mix sentiment.
itna computer dimag htte kese chada .,positive,Classify the given article as either positive or negative or mix sentiment.
Socha to tha treat du bt torture nikla ..... lol .....,neutral,Classify the given article as either positive or negative or mix sentiment.
"i realize bellamy is a freshman qb but the play selection leaves a lot to be desired , option toss on 3rd and 7 #cmonman",negative,Classify the given article as either positive or negative or mix sentiment.
sahi . . . per never felt anything against it . . . . . was the most prized possession at that time,positive,Classify the given article as either positive or negative or mix sentiment.
ye anna chutiya hai . . . . . . lekin voter bahot hi samjhdar hai . . . . aadmi ka anda denewale ki bato me nhi aayenge . . . . .,positive,Classify the given article as either positive or negative or mix sentiment.
 eli manning hopes the giants can uplift the spirits of the millions affected by sandy in ny with their game against the steelers on sunday ,neutral,Classify the given article as either positive or negative or mix sentiment.
Hmmmm.....tum hare liya agyei hu...Salman :*:*,neutral,Classify the given article as either positive or negative or mix sentiment.
Jane kab Meri neend gai,neutral,Classify the given article as either positive or negative or mix sentiment.
mil gaya bhai aur maine order v kar diya hai Jai bajrang bali,positive,Classify the given article as either positive or negative or mix sentiment.
3 k bhayya,neutral,Classify the given article as either positive or negative or mix sentiment.
smjhne waale smjh gye ... defintly a good one jo nhi smjhe wo ...... h,negative,Classify the given article as either positive or negative or mix sentiment.
woh bheek mangke waali line . . . . based on true events ! ! ! ! :-p :-d,positive,Classify the given article as either positive or negative or mix sentiment.
Sone ja rha h ?,neutral,Classify the given article as either positive or negative or mix sentiment.
"staffroom khud me hi ek fish market hai aur ulta hume bolte the "" this class is like a fish market "" :3",negative,Classify the given article as either positive or negative or mix sentiment.
bhaijaan 4:11 ho gya. kb aaoge aap,neutral,Classify the given article as either positive or negative or mix sentiment.
briliant mind . . .,positive,Classify the given article as either positive or negative or mix sentiment.
rt @kamalinsan1991: #msgrevolution come agin pa love me again..#msgyouthicon,neutral,Classify the given article as either positive or negative or mix sentiment.
Kaisa rha,negative,Classify the given article as either positive or negative or mix sentiment.
@someUSER @someUSER was in on sat and they only had the ray lewis home jersey . they didn't have a lot either .,negative,Classify the given article as either positive or negative or mix sentiment.
bob marley bhi confessions snd krne lg gya is page pe kya bt hai page trakki pe hai 3 ),neutral,Classify the given article as either positive or negative or mix sentiment.
"oh great,,..har din apko dekh ke nai urja milta hai.ap jio hajoro sal sir ji or india ko biswa bijai banao..",positive,Classify the given article as either positive or negative or mix sentiment.
Bas Kuch ni,neutral,Classify the given article as either positive or negative or mix sentiment.
wait kar raha hu,neutral,Classify the given article as either positive or negative or mix sentiment.
Asak...aap apni maa se aur apne bhaiyon se bahot pyar kerte hain bahot acha lagta hai,positive,Classify the given article as either positive or negative or mix sentiment.
"wilfred kiboro joins family bank as chairman , a day after he quit standard chartered bank . he takes over from founder titus muya on jan 1",neutral,Classify the given article as either positive or negative or mix sentiment.
delhi is with u only .,positive,Classify the given article as either positive or negative or mix sentiment.
Wahan police headquarters bhi,negative,Classify the given article as either positive or negative or mix sentiment.
"@someUSER have a great time tomorrow , and maybe can you come to belgium ? ! :d xx",positive,Classify the given article as either positive or negative or mix sentiment.
Itna intezar to roza khulna ka bhi ni krta jitna apka ek post ka karta hooo ....plzz reply karain maharbani apki bhtt bhtt,neutral,Classify the given article as either positive or negative or mix sentiment.
flop. thaki huee moviee. bigg flo[,negative,Classify the given article as either positive or negative or mix sentiment.
are flirtng ke chakkar me 4 baar fas gaya girls sach me girlfriend ban jati hai aur mere phir l lag jate hai .,negative,Classify the given article as either positive or negative or mix sentiment.
ye guddu ki tie badalti kyu rehti h ?,neutral,Classify the given article as either positive or negative or mix sentiment.
mario 8-3 - yeh level pure mario game ka sabse hard level tha . . . . . final level se bhi . . . . . is level mein sabse zyada gussa tab aata tha jab dono green hathooda fekne waalo ko maaro do aur mushroom lene jaao aur miss ho jata tha . . . . . . . . .,negative,Classify the given article as either positive or negative or mix sentiment.
Han .. Abhi abhi kiya yaar,neutral,Classify the given article as either positive or negative or mix sentiment.
"@someUSER @someUSER lauren , sweetheart , how was your day on this wonderful thursday ? :) . . . . . that better - . -",positive,Classify the given article as either positive or negative or mix sentiment.
teri to saqal bhi dekhne ko dil nahi karta,negative,Classify the given article as either positive or negative or mix sentiment.
"faq: what is 'skeuomorphic design' and the executive shakeup at apple: san francisco , ca - march 07: apple ceo . . . http/URL",positive,Classify the given article as either positive or negative or mix sentiment.
Ye ishq nhi aasan bas itna samaj lijiye .... Ek aag ka dariya hai or dub ke jana hai ... -- !!,neutral,Classify the given article as either positive or negative or mix sentiment.
my photos up at photoplus and the olympus booth . come out and say hello ! ill be here till saturday . http/URL,neutral,Classify the given article as either positive or negative or mix sentiment.
chor sale marja tu kutte haramke suwwar.,negative,Classify the given article as either positive or negative or mix sentiment.
india has a chance to win the match in first 5-10 overs while batting... mauka mauka #indvsuae,positive,Classify the given article as either positive or negative or mix sentiment.
@someUSER no thanksgiving in australia no halloween no fourth of july just australia day queens bday and christmas,negative,Classify the given article as either positive or negative or mix sentiment.
"@gurmeetramrahim #msgincinemas #mustwatchmsg when m with you,it feels like a dream come true you are my angel frm heaven i love you #pa",positive,Classify the given article as either positive or negative or mix sentiment.
Bs acchi honi chahye ðŸ˜†,positive,Classify the given article as either positive or negative or mix sentiment.
guddu ki prestige pe laat maarkar bahar kardiya . . .,negative,Classify the given article as either positive or negative or mix sentiment.
"Tumhare nahi , mere",neutral,Classify the given article as either positive or negative or mix sentiment.
Are gandu hai p2psp or c++ ka hai na wo to,negative,Classify the given article as either positive or negative or mix sentiment.
ghost rider is bck on action jst w8 19th octobr at 3pm . . . so guyz start ur engine and join with me in rally . . .,neutral,Classify the given article as either positive or negative or mix sentiment.
plz javab degey na,neutral,Classify the given article as either positive or negative or mix sentiment.
"@someUSER presents: dethklok with machine head , all that remains , and black dahlia murder ! tuesday , november 13th at the venue at the hub !",neutral,Classify the given article as either positive or negative or mix sentiment.
rt @sudhirtailang: done the cartoon on #aapsweep in #delhi --will post tomorrow morning.,neutral,Classify the given article as either positive or negative or mix sentiment.
Shivani is*,neutral,Classify the given article as either positive or negative or mix sentiment.
kuch karna se pehla soch kar karna,positive,Classify the given article as either positive or negative or mix sentiment.
"@Admin - Know the reason why this page is losing or has already lost its glory ? Because we don't get to see your \ "" sarcastic\ "" views !",neutral,Classify the given article as either positive or negative or mix sentiment.
anna . ab kya tu bhi naukari karega kya ? ? tumhare sabhi ladke to set kar dia congress government ne,neutral,Classify the given article as either positive or negative or mix sentiment.
shat pratishat sahi hai . . . government schools m aisa hi hota hai . . .,negative,Classify the given article as either positive or negative or mix sentiment.
Kya yaar frst time koi cnfssn padha wo b bkwaas nikla -(,negative,Classify the given article as either positive or negative or mix sentiment.
"mera manpasand channel dd national , desh ka apana channel ,",positive,Classify the given article as either positive or negative or mix sentiment.
"this nigga @someUSER just hit a full court one handed shot with brook lopez . . . smh , 21st birthday shit",negative,Classify the given article as either positive or negative or mix sentiment.
#50 I like this babe but she has a bf and I know I'm getting super friendzoned and I think it's worth it just to be closer to her (,negative,Classify the given article as either positive or negative or mix sentiment.
good,negative,Classify the given article as either positive or negative or mix sentiment.
we are missing that #modimagic ...... which will give india his position and glory back to his people #arvindannaback #landacquisitionbill,positive,Classify the given article as either positive or negative or mix sentiment.
pathaka phodenge jarur.. koi aur hai jo mouka dena chahta hai? #indvssa #indiavssouthafrica #worldcup2015 @udayavaninews @vishweshwarbhat,neutral,Classify the given article as either positive or negative or mix sentiment.
"go try and win a ps vita at the lollipop chainsaw event at fish &amp; co . @ glasshouse . you may get bitten by zombies , but it's a ps vita !",neutral,Classify the given article as either positive or negative or mix sentiment.
paise ke jagah pe morton toffee milti thi :),neutral,Classify the given article as either positive or negative or mix sentiment.
meri bas ek dua hai ek bar mujhe milna hai apne bhaijan se,neutral,Classify the given article as either positive or negative or mix sentiment.
egypt&amp;#039;s new president mohamed morsi on monday described the relationship between the u . s . and egypt as some . . . http/URL,neutral,Classify the given article as either positive or negative or mix sentiment.
that was absolutely brilliant . ghar ghar ka kahani . . . . :),positive,Classify the given article as either positive or negative or mix sentiment.
"jeremy lin picks up his 4th foul , all he does is turn it over ! ! ! ! pistons are hot right now folks ! !",neutral,Classify the given article as either positive or negative or mix sentiment.
@gurmeetramrahim #msgincinemas papaji hun ta kuj v yad ni h inni khusi mili h ki khana pina sb bhul gyi te bs dil krda movie vekhi jawa,positive,Classify the given article as either positive or negative or mix sentiment.
alex poythress had 11 points and 7 rebounds in his debut with kentucky during an exhibition game on thursday . he played 28 minutes .,neutral,Classify the given article as either positive or negative or mix sentiment.
rt @muntaziraapka: #myvote4kejriwal bus thoda sa aur dum .. delhi jeet rahe .. http://t.co/hr1qjexae4,positive,Classify the given article as either positive or negative or mix sentiment.
##$$## black friday deals olympus om-d e-m5 16mp live mos interchangeable lens camera with 3 . 0-inch tilting oled tou . . . http/URL,neutral,Classify the given article as either positive or negative or mix sentiment.
kahi plane ka petrol toh khatam to nahi hua paise late late . . . .,negative,Classify the given article as either positive or negative or mix sentiment.
ek aayas admi tha nehru,neutral,Classify the given article as either positive or negative or mix sentiment.
hahahaa lalu parsad koo b dee doo,neutral,Classify the given article as either positive or negative or mix sentiment.
"Namastey sir, Jis tarah ap desh ki halat sudhar rhe h. Usi tarah please hum jese peoples pr bi dhyan dijiye.",neutral,Classify the given article as either positive or negative or mix sentiment.
maa ka apman mat karo dosto,positive,Classify the given article as either positive or negative or mix sentiment.
Phr,neutral,Classify the given article as either positive or negative or mix sentiment.
guddu aur mai . . . . . have done more than 95% things similar . love you bro for reminding my childhood .,positive,Classify the given article as either positive or negative or mix sentiment.
you sucking cow's blood drinking as milk is not offence ? #beefban,neutral,Classify the given article as either positive or negative or mix sentiment.
Whs playing guitar,neutral,Classify the given article as either positive or negative or mix sentiment.
Admn tune lagta h fb k DoN se panga le liya h .... undrworld may halla ho essay pahle bat man le !!,negative,Classify the given article as either positive or negative or mix sentiment.
commitmnt kr k bhul gye kya??,positive,Classify the given article as either positive or negative or mix sentiment.
Tu kha hai,negative,Classify the given article as either positive or negative or mix sentiment.
"jr smith wanna be a starter so damn bad lol , nigga said 6th man of the year award is not what he's thinking about",neutral,Classify the given article as either positive or negative or mix sentiment.
Ha sacchi mein,negative,Classify the given article as either positive or negative or mix sentiment.
Han businesses women banna chahti hun tumhare chakkar me sab bhul gai hun ek tum ho jise shirf mai hi yad nahi hun,positive,Classify the given article as either positive or negative or mix sentiment.
Bs,neutral,Classify the given article as either positive or negative or mix sentiment.
heat vs knicks is gonna be the most exciting 1st round series,positive,Classify the given article as either positive or negative or mix sentiment.
I WONDER central park me ladkiya milne lagi h ??? sale lagti h kya waha ??,negative,Classify the given article as either positive or negative or mix sentiment.
@creativesrj there are thousands of hindus too crying over #beefban . your cartoon reference again exposes that hidden sanghie strain!,negative,Classify the given article as either positive or negative or mix sentiment.
Salman saale tu chorr h. Kamine kutte .,negative,Classify the given article as either positive or negative or mix sentiment.
aam aadmi modi ke saath hai . . . . . pls aisa samajhne ki galti ye naa kare . . . . . bjp means desh ka sainik . . . . . . aagey badho,positive,Classify the given article as either positive or negative or mix sentiment.
aap evm mistake per dhyan do,neutral,Classify the given article as either positive or negative or mix sentiment.
bhai apku sath Katrina ko film mere bohut ppochondo,neutral,Classify the given article as either positive or negative or mix sentiment.
woh ganna sab mere liye banna rahi hai mai suune gi,neutral,Classify the given article as either positive or negative or mix sentiment.
july 28th national milk chocolate day . you might say milk chocolate is the star of the chocolate (cont) http/URL,neutral,Classify the given article as either positive or negative or mix sentiment.
@someUSER : bhai kendriya vidyalaya se lagtey ho :),neutral,Classify the given article as either positive or negative or mix sentiment.
kiran bedi ko bjp ne mute kar diya hae lol,negative,Classify the given article as either positive or negative or mix sentiment.
Ghar ja ra hu ab bus em,neutral,Classify the given article as either positive or negative or mix sentiment.
Hlo sir kya aap kbhi mujhse baat krege kuch baat hai jo main aapse share krna chahti hu,neutral,Classify the given article as either positive or negative or mix sentiment.
bhai itna time kyun lete ho cartoon post karne mein . . . . . . . . . . . . please jaldi kiya karo,neutral,Classify the given article as either positive or negative or mix sentiment.
Muje kya pata k canteen me 7 baj jate hain,neutral,Classify the given article as either positive or negative or mix sentiment.
"contra me s power achi thi l se , :-p",neutral,Classify the given article as either positive or negative or mix sentiment.
"indian ki batting 'rang de basanti' movie ki tarah thi , sabne accha perform kiya par end me sab mar gaye . . . .",neutral,Classify the given article as either positive or negative or mix sentiment.
aaj kaal . k bachey yeh kya janae,negative,Classify the given article as either positive or negative or mix sentiment.
@sudhirkekre #railbudget2015 diggy: isme naya kuch nahi hai m tiwari: congress ki yojanae copy ki hai mamta: garib virodhi budget hai,negative,Classify the given article as either positive or negative or mix sentiment.
Woh bhejta hoon,negative,Classify the given article as either positive or negative or mix sentiment.
"when i see reactions to stories about "" benefit scroungers "" and the "" lazy poor "" in the sun , i wonder if murdoch is a latter-day pavlov",neutral,Classify the given article as either positive or negative or mix sentiment.
Hiii salman bhai,neutral,Classify the given article as either positive or negative or mix sentiment.
rt @vmlsanna9: 67% more funds allotted for passenger amenities - union railway minister shri @sureshpprabhu #railbudget2015 http://t.co/z0…,neutral,Classify the given article as either positive or negative or mix sentiment.
himanshu johri sudhar ja ab bi,negative,Classify the given article as either positive or negative or mix sentiment.
"Income base pr quota ???? i thnk quota systm to hona hi ni chaiye , students ko unki abilities ke base pr adms milna chaiye",neutral,Classify the given article as either positive or negative or mix sentiment.
Saare communication protocols ho gaye,neutral,Classify the given article as either positive or negative or mix sentiment.
kamal karte ho pandy ji ....kitna wait karwaoge,neutral,Classify the given article as either positive or negative or mix sentiment.
Ca me mili gaana gaya th Are gud gud Chhori k haal,positive,Classify the given article as either positive or negative or mix sentiment.
Bhai lagta hai teri grammer correct karke sadai hai bohot kisi ne D,negative,Classify the given article as either positive or negative or mix sentiment.
sir massage kahan se karna hai sir massage kahan se karna hai sir massage kahan se karna hai,neutral,Classify the given article as either positive or negative or mix sentiment.
dear that ws d one sided love ...... she jst tym pass wd u ... egnor hr nd srch another .....,neutral,Classify the given article as either positive or negative or mix sentiment.
"isme se "" tanks "" mera favourite tha . . kyuki baaki kuch tha hi nahi isme . . . :d",positive,Classify the given article as either positive or negative or mix sentiment.
woow aap 1988 se fb per ho me to 2011 me fb per aai :),neutral,Classify the given article as either positive or negative or mix sentiment.
jaha chai waha... . . . . gai.. #beefban,neutral,Classify the given article as either positive or negative or mix sentiment.
"Pyar krna h to junior se kro , Senior to citizens v hote h p",positive,Classify the given article as either positive or negative or mix sentiment.
Faila 😁 bhai wo b spcl offer h 😅😅 Badbu b bs kallupura walo k liye😉😆😅 👻💀👻,negative,Classify the given article as either positive or negative or mix sentiment.
"ek baar jarur try kare . . . ,",positive,Classify the given article as either positive or negative or mix sentiment.
going cinestar cinema lahore for pk movie :) &lt;3,neutral,Classify the given article as either positive or negative or mix sentiment.
beauty lies in the eyes of the beholder . . . . depends on you whom do you see as beautiful . . . . . can't generalize the fact above though,neutral,Classify the given article as either positive or negative or mix sentiment.
Bhai 4 baj gaye hain,neutral,Classify the given article as either positive or negative or mix sentiment.
"#unionbudget2015 expectation from mr santosh mohapatra, past chairman, cii odisha state council @finminindia http://t.co/cieifomtrc",neutral,Classify the given article as either positive or negative or mix sentiment.
"aap mla s are too good, watch and share. http://t.co/kfsofwpxsb #rahulonleave",positive,Classify the given article as either positive or negative or mix sentiment.
yaar meko to aisa lag rha hai.is ishita oberoi nei hi ye fake confession kiya hoga .....,negative,Classify the given article as either positive or negative or mix sentiment.
or,neutral,Classify the given article as either positive or negative or mix sentiment.
"kya kahu bhai tumhara har stilepe josh hai,mano ya na mano sare ledki tumpe marte hai.jisko chaho apna banalo,khuda ka kasam kabhi na mat bolo.",neutral,Classify the given article as either positive or negative or mix sentiment.
Are bata,neutral,Classify the given article as either positive or negative or mix sentiment.
Train is at 4 30,neutral,Classify the given article as either positive or negative or mix sentiment.
maine bhi kiya hai yeh ;),neutral,Classify the given article as either positive or negative or mix sentiment.
rt @gaganuppal9: hot pakistani girls in crowd #cwc15 #indvspak http://t.co/vjqnr2tj5k,neutral,Classify the given article as either positive or negative or mix sentiment.
"supw ka period was fun- all kv students know it , right kvians . head down karke baithe raho .",positive,Classify the given article as either positive or negative or mix sentiment.
thank god hm aisy jgh paida ni hue,positive,Classify the given article as either positive or negative or mix sentiment.
"@someUSER @someUSER hip hip hooray , meet you in nevada tomorrow so we can prepare .",positive,Classify the given article as either positive or negative or mix sentiment.
Kon sa project hai ?,neutral,Classify the given article as either positive or negative or mix sentiment.
